序号,页面,中文母本,英文,繁体中文,韩文,日语,德语,法语,西班牙语,葡萄牙语,俄语,印尼语,意大利语,泰语,越南语,阿拉伯语,土耳其语
100007,首次注册/登录收码页面,验证码已发送至您的邮箱 <b><color=#0066CC>{0}</color></b>请查收并输入验证码,The verification code has been sent to <b><color=#0066CC>{0}</color></b> Please enter the code to proceed,驗證碼已寄至您的信箱 <b><color=#0066CC>{0}</color></b>請查收並輸入驗證碼,<b><color=#0066CC>{0}</color></b>로 인증 코드가 전송되었습니다 계속하려면 코드를 입력하세요,認証コードがご利用のメールアドレス<b><color=#0066CC>{0}</color></b>に送信されました送信された認証コードを入力してください,"Der Bestätigungscode wurde an <b><color=#0066CC>{0}</color></b> gesendet Bitte gib den Code ein, um fortzufahren",Le code de vérification a été envoyé à <b><color=#0066CC>{0}</color></b> Veuillez saisir le code pour continuer,El código de verificación se ha enviado a <b><color=#0066CC>{0}</color></b> Introduce el código para continuar,O código de verificação foi enviado para <b><color=#0066CC>{0}</color></b> Insira o código para continuar,"Код подтверждения отправлен на <b><color=#0066CC>{0}</color></b> Введите код, чтобы продолжить",Kode verifikasi telah dikirimkan ke <b><color=#0066CC>{0}</color></b> Harap masukkan kode untuk melanjutkan,Il codice di verifica è stato inviato a <b><color=#0066CC>{0}</color></b> Inserisci il codice per procedere,รหัสยืนยันถูกส่งไปที่ <b><color=#0066CC>{0}</color></b> โปรดกรอกรหัสเพื่อดำเนินการต่อ,Mã xác thực đã được gửi tới <b><color=#0066CC>{0}</color></b> Vui lòng nhập mã để tiến hành,تم إرسال رمز التحقق إلى <b><color=#0066CC>{0}</color></b> يُرجى إدخال الرمز للمتابعة,Doğrulama kodu <b><color=#0066CC>{0}</color></b> adresine gönderildi Devam etmek için lütfen kodu gir
100009,,未收到验证码？尝试其他验证方式,Did not receive a code? Try another verification method,未收到驗證碼？嘗試其他驗證方式,인증 코드를 받지 못하셨나요? 다른 방식을 시도해 주세요,認証コードを受信できない場合、他の認証方法をお試しください,Du hast keinen Code erhalten? Versuche eine andere Bestätigungsmethode,Vous n'avez pas reçu de code ? Essayez une autre méthode de vérification,¿No has recibido código? Prueba otro método de verificación,Não recebeu o código? Tente outro método de verificação,Не получили код? Попробуйте другой способ подтверждения,Tidak menerima kode? Coba metode verifikasi lainnya,Non hai ricevuto il codice? Prova un altro metodo di verifica,ไม่ได้รับรหัสยืนยัน? ลองวิธียืนยันอื่น,Chưa nhận được mã? Hãy thử phương thức xác thực khác,ألم تستلم الرمز؟ جرّب طريقة تحقق أخرى,Doğrulama kodu ulaşmadı mı? Başka bir doğrulama yöntemi seç
100008,,提交,Submit,提交,제출,送信,Eingeben,Envoyer,Entregar,Enviar,Подать,Ajukan,Invia,ส่ง,Gửi,إرسال,Gönder
100051,*验证上限提示弹窗标题,验证码接收限制,Verification code reception limit,驗證碼接收限制,인증 코드 발송 제한,認証コードの受信制限,Bestätigungscode -Empfangsbegrenzung,Limite de réception du code de vérification,Límite de recepción del código de verificación,Limite de recebimento de códigos de verificação,Лимит получений кода подтверждения,Batas penerimaan kode verifikasi,Limite di ricezione del codice di verifica,ถึงขีดจำกัดการรับรหัสยืนยัน,Giới hạn nhận mã xác thực,حد استقبال رموز التحقق,Doğrulama kodu alım sınırı
100041,*验证上限提示弹窗内容,您的邮箱已达到验证码接收上限。为了您的账户安全，请点击确认，我们将引导您使用其他验证方式。,"You have reached the limit for receiving verification codes. For the security of your account, please follow the guidance to use another verification method.",您的信箱已達到驗證碼接收上限。為了您的帳戶安全，請點選確認，我們將引導您使用其他驗證方式。,인증 코드 발송 한도에 도달했습니다. 계정 보안을 위해 확인 버튼을 클릭하여 다른 인증 방법을 확인해 주세요.,認証コードの受信制限に達しました。アカウントの安全性を確保するために、ガイダンスに従って別の認証方法を使用してください。,"Du hast die Grenze für den Empfang von Bestätigungscodes erreicht. Für die Sicherheit deines Kontos folge bitte der Anleitung, um eine andere Bestätigungsmethode zu verwenden.","Vous avez atteint la limite de réception du code de vérification. Pour des raisons de sécurité de votre compte, veuillez suivre les instructions pour utiliser une autre méthode de vérification.","Has alcanzado el límite para recibir códigos de verificación. Para la seguridad de tu cuenta, sigue la guía para usar otro método de verificación.","Você atingiu o limite de recebimento de códigos de verificação. Para a segurança da sua conta, siga as orientações para usar outro método de verificação.","Вы достигли лимита получения кодов подтверждения. Ради безопасности вашей учетной записи следуйте указаниям, чтобы использовать другой метод подтверждения.","Kamu telah mencapai batas untuk menerima kode verifikasi. Untuk keamanan akunmu, harap ikuti panduan untuk menggunakan metode verifikasi lain.","Hai raggiunto il limite di ricezione dei codici di verifica. Per garantire la sicurezza del tuo account, segui le indicazioni per utilizzare un altro metodo di verifica.",คุณถึงขีดจำกัดการรับรหัสยืนยันแล้ว เพื่อความปลอดภัยของบัญชีของคุณ โปรดทำตามคำแนะนำในการใช้วิธียืนยันอื่น,"Bạn đã đạt giới hạn nhận mã xác thực. Để bảo mật tài khoản của bạn, vui lòng làm theo hướng dẫn để sử dụng một phương thức xác thực khác.",لقد وصلت إلى الحد الأقصى لتلقي رموز التحقق. لضمان آمان حسابك، يُرجى اتباع الإرشادات لاستخدام طريقة تحقق أخرى.,Doğrulama kodu alma sınırına ulaştın. Rehberi takip edin ve hesap güvenliği için lütfen başka bir doğrulama yöntemi kullanın.
100010,*输入错误提示弹窗标题,验证码输入错误,Invalid verification code,驗證碼輸入錯誤,잘못된 인증 코드,無効な認証コード,Ungültiger Bestätigungscode,Code de vérification non valide,Código de verificación no válido,Código de verificação inválido,Неверный код подтверждения,Kode verifikasi tidak valid,Codice di verifica non valido,รหัสยืนยันไม่ถูกต้อง,Mã xác thực không hợp lệ,رمز التحقق غير صالح,Geçersiz doğrulama kodu
100011,*输入错误提示弹窗内容,请确认邮箱是否正确，并检查您输入的是否为最新收到的验证码。,Please ensure you are using the correct email and the latest code.,請確認郵箱是否正確，並檢查您輸入的是否為最新收到的驗證碼。,이메일 주소가 정확한지 최근에 받은 인증 코드를 입력했는지 확인하세요.,正しいメールアドレス、もしくは最新の認証コードを入力しているかどうかを確認してください。,"Bitte stelle sicher, dass du die richtige E-Mail-Adresse und den neuesten Code verwendest.",Assurez-vous d'utiliser la bonne adresse e-mail et le code le plus récent.,Asegúrate de estar usando el correo electrónico correcto y el último código.,Certifique-se de que está usando o e-mail correto e o código mais recente.,"Убедитесь, что используете правильный адрес эл. почты и последний присланный вам код.",Pastikan kamu menggunakan email yang benar dan kode terbaru.,Assicurati di utilizzare l'e-mail corretta e il codice più recente.,โปรดตรวจสอบให้แน่ใจว่าคุณใช้อีเมลที่ถูกต้องและรหัสล่าสุด,Vui lòng đảm bảo rằng bạn sử dụng đúng email và mã mới nhất.,يُرجى التأكد من استخدام البريد الإلكتروني الصحيح وآخر رمز.,Lütfen doğru e-postayı ve en güncel kodu kullandığından emin ol
100061,*弹窗按钮,确认,Confirm,確認,확인,確認する,Bestätigen,Confirmer,Confirmar,Confirmar,Подтвердить,Konfirmasikan,Conferma,ยืนยัน,Xác nhận,تأكيد,Onayla
100012,首次注册/登录发码页面,请使用您的邮箱 <b><color=#0066CC>{0}</color></b>，将下方验证码发送至指定邮箱地址，以完成验证,Please use your email <b><color=#0066CC>{0}</color></b> to send the verification code to the designated email address,請使用您的信箱 <b><color=#0066CC>{0}</color></b>，將下方驗證碼寄至指定信箱位址，以完成驗證,본인의 이메일 <b><color=#0066CC>{0}</color></b>을 사용하여 지정된 이메일 주소로 인증 코드를 보내주세요,認証を完成させるには、ご利用のメールアドレス<b><color=#0066CC>{0}</color></b>から下記認証コードを指定のメールアドレスに送信してください,"Bitte benutze deine E-Mail-Adresse <b><color=#0066CC>{0}</color></b>, um den Bestätigungscode an die angegebene E-Mail-Adresse zu senden",Veuillez utiliser votre e-mail <b><color=#0066CC>{0}</color></b> pour envoyer le code de vérification à l'adresse e-mail désignée,Usa tu correo electrónico <b><color=#0066CC>{0}</color></b> para enviar el código de verificación a la dirección de correo designada,Use seu e-mail <b><color=#0066CC>{0}</color></b> para enviar o código de verificação para o endereço de e-mail indicado,Используйте ваш адрес эл почты <b><color=#0066CC>{0}</color></b> для отправки кода подтверждения на указанный адрес эл почты,Harap gunakan email-mu <b><color=#0066CC>{0}</color></b> untuk mengirim kode verifikasi ke alamat email yang ditetapkan,Usa la tua e-mail <b><color=#0066CC>{0}</color></b> per inviare il codice di verifica all'indirizzo e-mail indicato,โปรดใช้อีเมลของคุณ <b><color=#0066CC>{0}</color></b> ส่งรหัสยืนยันไปยังที่อยู่อีเมลที่กำหนด,Vui lòng sử dụng email <b><color=#0066CC>{0}</color></b> để gửi mã xác thực tới địa chỉ email được chỉ định,يُرجى استخدام بريدك الإلكتروني <b><color=#0066CC>{0}</color></b> لإرسال رمز التحقق إلى عنوان البريد الإلكتروني المخصص,Lütfen doğrulama kodunu e-posta adresinden (<b><color=#0066CC>{0}</color></b>) belirtilen adrese gönder
100013,,验证成功后，将自动跳转登录,"After successful verification, you will be automatically redirected to the login page",驗證成功後，將自動跳轉登錄,인증이 완료되면 자동으로 로그인 화면으로 넘어갑니다,認証が完了すると、自動的にログインにジャンプします,Nach erfolgreicher Bestätigung wirst du automatisch zur Anmeldeseite weitergeleitet,"Une fois la vérification terminée, vous serez automatiquement redirigé vers la page de connexion","Después de la verificación correcta, se te redirigirá automáticamente a la página de inicio de sesión","Após a verificação, você será redirecionado automaticamente para a página de login",После успешного подтверждения вы будете автоматически перенаправлены на страницу входа,"Setelah verifikasi berhasil, kamu akan dialihkan ke halaman login secara otomatis","Dopo l'esito positivo della verifica, ti reindirizzeremo automaticamente alla pagina di accesso",หลังยืนยันสำเร็จ คุณจะถูกนำไปยังหน้าล็อกอินโดยอัตโนมัติ,"Sau khi xác thực thành công, bạn sẽ tự động được chuyển về trang đăng nhập",بعد نجاح التحقق، ستتم إعادة توجيهك تلقائيًا إلى صفحة تسجيل الدخول,Doğrulama başarıyla tamamlandıktan sonra otomatik olarak giriş sayfasına yönlendirileceksin
100055,,至,To,至,받는 사람,宛先,An,À,Para,Para,Кому,Ke,A,ถึง,Đến,إلى,İle
100014,,发送,Send,傳送,발송	,送信,Senden,Envoyer,Enviar,Enviar,Отправить,Kirim,Invia,ส่ง,Gửi,إرسال,Gönder
100050,*复制按钮toast,复制成功！,Copied successfully!,複製成功！,성공적으로 복사했습니다!,正常にコピーされました！,Erfolgreich kopiert!,Copié avec succès !,¡Copiado con éxito!,Copiado com sucesso!,Скопировано!,Berhasil disalin!,Copia riuscita!,คัดลอกสำเร็จ!,Đã sao chép thành công!,نجح النسخ!,Başarıyla kopyalandı!
100039,*发送邮件验证标题,Habby ID 验证码提交,Habby ID verification code submission,Habby ID 驗證碼提交,Habby ID 인증 코드 제출,Habby ID 認証コードの提出,Einreichung des Habby ID -Bestätigungscodes,Soumission du code de vérification de l'ID Habby,Envío del código de verificación de identificación de Habby,Envio do código de verificação da Habby ID,Подача кода подтверждения Habby ID,Pengajuan kode verifikasi ID Habby,Invio del codice di verifica dell'ID Habby,การส่งรหัสยืนยัน Habby ID,Gửi mã xác thực ID Habby,تقديم رمز تحقق معرّف Habby,Habby ID doğrulama kodu gönderimi
100040,*发送邮件验证正文,验证码：{0},Verification code: {0},驗證碼：{0},인증 코드 : {0},認証コード：{0},Bestätigungscode: {0},Code de vérification : {0},Código de verificación: {0},Código de verificação: {0},Код подтверждения: {0},Kode verifikasi: {0},Codice di verifica: {0},รหัสยืนยัน: {0},Mã xác thực: {0},رمز التحقق: {0},Doğrulama kodu: {0}
100058,登录页面,欢迎回来！\n点击登录 Habby ID,Welcome back! \n Click to log in to Habby ID,歡迎回來！ \n點選登入 Habby ID,다시 오신 것을 환영합니다! \n클릭하여 Habby ID 에 로그인하세요,おかえりなさい！ \nクリックして Habby ID にログインします,"Willkommen zurück! \n Klicke, um dich bei der Habby ID anzumelden",Bienvenue ! \n Cliquez pour vous connecter à l'ID Habby,¡Hola otra vez! \n Haz clic en Iniciar sesión en Habby ID,Olá! \n Clique para fazer login na Habby ID,"С возвращением! \n Нажмите, чтобы войти в Habby ID",Selamat datang kembali! \n Klik untuk masuk ke ID Habby,Bentornato! \n Fai clic per accedere all'ID Habby,ยินดีต้อนรับกลับ! \n คลิกเพื่อล็อกอิน Habby ID,Chào mừng trở lại! \nBấm để đăng nhập vào ID Habby,مرحبًا بعودتك! \n اضغط لتسجيل الدخول إلى معرّف Habby,Tekrar hoş geldin! \nHabby ID'ye giriş yapmak için tıkla
100059,,登录,Log in,登入,로그인,ログイン,Anmelden,Se connecter,Iniciar sesión,Login,Войти,Masuk,Accedi,ล็อกอิน,Đăng nhập,تسجيل الدخول,Giriş Yap
100052,主界面,账号详情,Account detail,帳號詳情,계정 정보,アカウントの詳細,Kontodetails,Détails du compte,Detalle de la cuenta,Detalhes da conta,Об учетной записи,Detail akun,Dettagli dell'account,รายละเอียดบัญชี,Thông tin tài khoản,تفاصيل الحساب,Hesap ayrıntısı
100053,,游戏ID,Game ID,遊戲ID,게임 ID,ゲームID,Spiele-ID,ID de jeu,ID del juego,ID do jogo,Игровой ID,ID Game,ID di gioco,ID เกม,ID game,معرّف اللعبة,Oyun Kimliği
100054,,邮件订阅,Email subscription,郵件訂閱,이메일 구독,メール購読,E-Mail-Abonnement,Abonnement par e-mail,Suscripción por correo electrónico,Assinatura de e-mails,Подписка по электронной почте,Langganan email,Iscrizione via e-mail,การสมัครสมาชิกอีเมล,Đăng ký email,اشتراك البريد الإلكتروني,E-Posta Aboneliği
100046,,活动与福利,Events and benefits,活動與福利,이벤트 및 혜택,イベントと特典,Events und Vorteile,Événements et avantages,Eventos y beneficios,Eventos e benefícios,События и преимущества,Event dan manfaat,Eventi e benefici,อีเวนต์และสิทธิประโยชน์,Sự kiện và quyền lợi,الفعاليات والمزايا,Etkinlikler ve Avantajlar
100048,,商城特惠,Deals and offers,商城特惠,상점 혜택,お得情報とキャンペーン,Sonderangebote und Rabatte,Affaires et offres,Ofertas y descuentos,Ofertas e promoções,Сделки и предложения,Promo dan penawaran,Offerte,ดีลและข้อเสนอ,Giao dịch và ưu đãi,الصفقات والعروض,Fırsatlar ve Teklifler
100045,,游戏更新通知,Updates and notifications,遊戲更新通知,게임 업데이트 알림,更新と通知,Spiel-Updates und Benachrichtigungen,Mises à jour et notifications du jeu,Actualizaciones y notificaciones del juego,Atualizações e notificações de jogo,Обновления игры и уведомления,Pembaruan dan pemberitahuan game,Aggiornamenti e notifiche di gioco,อัปเดตเกมและการแจ้งเตือน,Cập nhật và thông báo về trò chơi,تحديثات وإشعارات اللعبة,Oyun Güncellemeleri ve Bildirimler
100047,,社区精选,Community highlights,社區精選,커뮤니티 인기,コミュニティのハイライト,Community-Highlights,Points forts de la communauté,Lo más destacado de la comunidad,Destaques da comunidade,Основные моменты сообщества,Sorotan komunitas,Il meglio della community,ไฮไลท์ของชุมชน,Điểm nổi bật của cộng đồng,أبرز أخبار المجتمع,Topluluktaki Önemli Konular
100049,,Habby 新动态,Habby latest news,Habby 新動態,Habby 최신 뉴스,Habbyの最新ニュース,Neueste Nachrichten von Habby,Dernières nouvelles d'Habby,Últimas noticias de Habby,Últimas notícias da Habby,Последние новости Habby,Berita terbaru Habby,Ultime notizie da Habby,ข่าวล่าสุด Habby,Tin tức mới nhất của Habby,آخر أخبار Habby,En Güncel Habby Haberleri
100017,,服务条款,Terms of Service,服務條款,서비스 약관,利用規約,Nutzungsbedingungen,Conditions d'utilisation,Términos del servicio,Termos de Serviço,Пользовательское соглашение,Ketentuan Layanan,Termini di servizio,เงื่อนไขการให้บริการ,Điều Khoản Dịch Vụ,شروط الخدمة,Kullanım Şartları
100018,,隐私保护政策,Privacy Policy,隱私權保護政策,개인 정보 보호 정책,プライバシーポリシー,Datenschutzrichtlinie,Politique de confidentialité,Política de privacidad,Política de Privacidade,Политика конфиденциальности,Kebijakan Privasi,Informativa sulla privacy,นโยบายความเป็นส่วนตัว,Chính Sách Riêng Tư,سياسة الخصوصية,Gizlilik Politikası
100019,邮件1标题,Habby ID 绑定验证码,Habby ID binding verification code,Habby ID 綁定驗證碼,Habby ID 연동 인증 코드,Habby ID 連携認証コード,Bestätigungscode zur Verbindung der Habby ID,Code de vérification de liaison de l'ID Habby,Código de verificación de enlace con Habby ID,Código de verificação para vinculação da Habby ID,Код подтверждения привязки Habby ID,Kode verifikasi penautan ID Habby,Codice di verifica per l'associazione dell'ID Habby,รหัสยืนยัน Habby ID,Mã xác thực liên kết ID Habby,رمز التحقق لربط معرّف Habby,Habby ID bağlantısı doğrulama kodu
